offset|japanese|max_bytes|sjis_hex
0x08b9ac|学生特権|8|\x8a\x77\x90\xb6\x93\xc1\x8c\xa0
0x08b9c4|秘されしモノ|12|\x94\xe9\x82\xb3\x82\xea\x82\xb5\x83\x82\x83\x6d
0x08b9d4|願いの軌跡|10|\x8a\xe8\x82\xa2\x82\xcc\x8b\x4f\x90\xd5
0x08b9e0|奇跡を願っても|14|\x8a\xef\x90\xd5\x82\xf0\x8a\xe8\x82\xc1\x82\xc4\x82\xe0
0x08b9f0|今この手の中の幸福|18|\x8d\xa1\x82\xb1\x82\xcc\x8e\xe8\x82\xcc\x92\x86\x82\xcc\x8d\x4b\x95\x9f
0x08ba04|愛という幸福|12|\x88\xa4\x82\xc6\x82\xa2\x82\xa4\x8d\x4b\x95\x9f
0x08ba14|もしこの心届くなら|18|\x82\xe0\x82\xb5\x82\xb1\x82\xcc\x90\x53\x93\xcd\x82\xad\x82\xc8\x82\xe7
0x08ba28|震える心抱いて|14|\x90\x6b\x82\xa6\x82\xe9\x90\x53\x95\xf8\x82\xa2\x82\xc4
0x08ba38|心奏でて|8|\x90\x53\x91\x74\x82\xc5\x82\xc4
0x08ba44|奮い立つ心|10|\x95\xb1\x82\xa2\x97\xa7\x82\xc2\x90\x53
0x08ba50|重ね想う|8|\x8f\x64\x82\xcb\x91\x7a\x82\xa4
0x08ba78|並んで歩くだけでも|18|\x95\xc0\x82\xf1\x82\xc5\x95\xe0\x82\xad\x82\xbe\x82\xaf\x82\xc5\x82\xe0
0x08ba8c|抜き足差し足猫の足|18|\x94\xb2\x82\xab\x91\xab\x8d\xb7\x82\xb5\x91\xab\x94\x4c\x82\xcc\x91\xab
0x08bab4|こんな上々の休日|16|\x82\xb1\x82\xf1\x82\xc8\x8f\xe3\x81\x58\x82\xcc\x8b\x78\x93\xfa
0x08bac8|心躍り胸弾む|12|\x90\x53\x96\xf4\x82\xe8\x8b\xb9\x92\x65\x82\xde
0x08bad8|足取り軽く心軽く|16|\x91\xab\x8e\xe6\x82\xe8\x8c\x79\x82\xad\x90\x53\x8c\x79\x82\xad
0x08baec|静かに冴える夜|14|\x90\xc3\x82\xa9\x82\xc9\x8d\xe1\x82\xa6\x82\xe9\x96\xe9
0x08bafc|まだまだ今日は終わらない|24|\x82\xdc\x82\xbe\x82\xdc\x82\xbe\x8d\xa1\x93\xfa\x82\xcd\x8f\x49\x82\xed\x82\xe7\x82\xc8\x82\xa2
0x08bb18|実家のような心地よさ|20|\x8e\xc0\x89\xc6\x82\xcc\x82\xe6\x82\xa4\x82\xc8\x90\x53\x92\x6e\x82\xe6\x82\xb3
0x08bb30|解き放て青春|12|\x89\xf0\x82\xab\x95\xfa\x82\xc4\x90\xc2\x8f\x74
0x08bb40|学食か購買か弁当か|18|\x8a\x77\x90\x48\x82\xa9\x8d\x77\x94\x83\x82\xa9\x95\xd9\x93\x96\x82\xa9
0x08bb5c|未来への資産|12|\x96\xa2\x97\x88\x82\xd6\x82\xcc\x8e\x91\x8e\x59
0x08bb6c|かったるくない通学路|20|\x82\xa9\x82\xc1\x82\xbd\x82\xe9\x82\xad\x82\xc8\x82\xa2\x92\xca\x8a\x77\x98\x48
0x08bb84|心躍る幕開け|12|\x90\x53\x96\xf4\x82\xe9\x96\x8b\x8a\x4a\x82\xaf
0x08bb94|のんびり長閑に|14|\x82\xcc\x82\xf1\x82\xd1\x82\xe8\x92\xb7\x8a\xd5\x82\xc9
0x08bba4|親友≒悪友|10|\x90\x65\x97\x46\x81\xe0\x88\xab\x97\x46
